the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Shelter_ID,Corner,On_Street,Cross_Stre,Longitude,Latitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.94874357365637 40.64085475597672),3,Brooklyn,317,45,42,21,9,BR02218,SW,AV D,NOSTRAND AV,-73.948.745,40.640.863,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.02283555116742 40.6292447605423),3,Brooklyn,310,43,46,26,11,BR02219,SW,5 AV,BAY RIDGE PKWY,-74.022.837,40.629.253,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92467258003798 40.67375874807616),3,Brooklyn,308,41,55,20,9,BR02220,SE,ST MARKS AV,BUFFALO AV,-73.924.674,40.673.767,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9401345806071 40.578033768126936),3,Brooklyn,315,48,45,23,8,BR02221,SW,ORIENTAL BLVD,MACKENZIE ST,-73.940.136,40.578.042,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.93991658060635 40.57805676808165),3,Brooklyn,315,48,45,23,8,BR02222,SW,ORIENTAL BLVD,MACKENZIE ST,-73.939.918,40.578.065,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.95872756901241 40.68286474752799),3,Brooklyn,303,35,57,25,8,BR02224,SE,CLASSON AV,PUTNAM AV,-73.958.729,40.682.873,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96644956410857 40.7051227439722),3,Brooklyn,301,33,50,18,7,BR02225,NE,WYTHE AV,CLYMER ST,-73.966.451,40.705.131,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94304857309739 40.68010074811949),3,Brooklyn,303,36,56,25,8,BR02226,NE,FULTON ST,TOMPKINS AV,-7.394.305,40.680.109,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92847258069996 40.63257075644031),3,Brooklyn,318,45,41,21,9,BR02228,SW,UTICA AV,AV H,-73.928.474,40.632.579,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.92860558149378 40.63273675622538),3,Brooklyn,318,45,41,21,9,BR02229,SW,AV H,UTICA AV,-73.928.607,40.632.745,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,5
