palavra,frequencia,preco_medio
east,1018,214.38998035363457
village,1008,220.3373015873016
spacious,913,218.78532311062432
park,814,217.44840294840296
williamsburg,713,216.21879382889202
manhattan,709,217.26516220028208
luxury,705,225.33900709219859
west,690,220.89710144927537
cozy,687,208.64192139737992
brooklyn,652,210.5276073619632
loft,644,225.89285714285714
heart,611,218.7266775777414
modern,588,218.5408163265306
beautiful,586,217.24402730375428
nyc,536,221.09514925373134
central,530,221.0641509433962
sunny,515,208.85825242718445
midtown,507,221.20118343195267
near,468,221.5042735042735
bright,454,216.11013215859032
large,442,221.23529411764707
location,421,214.41805225653206
home,419,222.7183770883055
side,414,212.11352657004832
new,409,220.679706601467
charming,406,211.94581280788177
square,390,224.64102564102564
upper,362,213.82044198895028
duplex,358,229.34916201117318
chelsea,353,230.70254957507083
sonder,325,218.1169230769231
brownstone,318,213.12893081761007
times,298,229.33221476510067
prime,280,223.31785714285715
garden,280,213.78214285714284
amazing,256,225.52734375
quiet,242,210.3801652892562
gym,239,250.33891213389123
views,236,233.30084745762713
doorman,230,247.91304347826087
great,228,212.75438596491227
huge,225,216.90222222222224
house,212,221.9245283018868
view,201,225.53731343283582
soho,198,225.23232323232324
gorgeous,194,223.12886597938143
entire,183,211.17486338797815
kitchen,181,221.19337016574585
rooftop,181,232.65193370165747
blueground,180,280.47222222222223
renovated,179,222.94972067039106
perfect,177,211.40677966101694
slope,175,214.45714285714286
uws,171,221.64327485380116
city,168,230.88095238095238
building,166,224.76506024096386
best,163,223.91411042944785
floor,159,214.0062893081761
harlem,156,211.67307692307693
terrace,156,231.4102564102564
hill,155,216.46451612903226
street,155,219.78064516129032
suite,153,217.92156862745097
clean,153,215.98692810457516
stylish,148,218.5608108108108
balcony,148,225.3581081081081
townhouse,144,235.81944444444446
oasis,144,215.52777777777777
close,143,208.4825174825175
chic,142,223.46478873239437
lower,141,213.77304964539007
york,140,220.5142857142857
penthouse,139,223.87769784172662
lovely,138,212.67391304347825
sq,134,226.17910447761193
min,130,216.1769230769231
4,130,232.55384615384617
subway,128,220.8046875
downtown,125,222.056
gem,123,220.52032520325204
condo,123,229.08130081300814
bdrm,118,211.34745762711864
les,117,222.1965811965812
family,116,228.35344827586206
exchange,114,226.10526315789474
big,114,225.28070175438597
stock,114,226.10526315789474
bedrooms,112,230.66964285714286
center,110,227.92727272727274
stunning,110,229.71818181818182
ues,110,222.38181818181818
space,109,214.6697247706422
heights,109,210.348623853211
1bd,107,219.3551401869159
historic,106,225.91509433962264
patio,105,220.33333333333334
greenpoint,104,208.6153846153846
luxurious,103,230.83495145631068
backyard,103,223.6504854368932
steps,101,215.34653465346534
greenwich,101,224.20792079207922
place,100,219.61
ave,98,228.0204081632653
5,97,220.3298969072165
deck,97,231.56701030927834
lux,93,230.20430107526883
gramercy,91,217.0879120879121
3br,90,245.0
full,88,223.67045454545453
sleeps,88,228.0909090909091
hells,87,214.54022988505747
block,85,215.42352941176472
union,85,220.09411764705882
newly,83,214.51807228915663
ny,81,225.44444444444446
comfy,80,216.6375
15,80,223.6
designer,80,234.575
flat,80,224.7625
greene,80,209.0
mins,78,217.66666666666666
time,78,211.44871794871796
high,78,221.87179487179486
brand,78,222.23076923076923
bushwick,78,212.82051282051282
1bedroom,77,212.4025974025974
roof,77,231.2987012987013
artist,76,213.92105263157896
away,75,214.8
light,74,218.0810810810811
furnished,74,210.25675675675674
train,72,208.80555555555554
airy,72,220.76388888888889
classic,71,227.61971830985917
cute,70,198.7
pool,70,266.45714285714286
minutes,69,212.0144927536232
st,69,219.7391304347826
nolita,69,226.40579710144928
tribeca,68,253.61764705882354
hotel,68,221.0441176470588
walk,67,231.3134328358209
convenient,67,209.28358208955223
next,67,226.50746268656715
living,65,222.2
located,65,219.53846153846155
astoria,64,203.0
comfortable,64,210.390625
trendy,64,212.765625
district,63,219.04761904761904
prospect,63,203.61904761904762
fort,63,209.9206349206349
beds,60,233.1
king,59,218.08474576271186
river,59,233.74576271186442
bd,59,208.11864406779662
columbus,55,220.63636363636363
bk,55,215.27272727272728
outdoor,54,223.0
style,53,210.33962264150944
fidi,53,223.37735849056602
area,53,220.60377358490567
friendly,51,231.4313725490196
